bath,beds,year_built,elevation,sqft,price,price_per_sqft,city,group
2,3,1908,55,1546,1389000,898,San Francisco,3
2,2,1900,9,2150,1350000,628,New York,4
2,2,2007,7,808,779000,964,San Francisco,6
2,2,2004,10,957,1635000,1708,New York,
2.5,3,1928,160,1905,1388000,729,San Francisco,6
1.5,1,2000,9,1000,378551,379,San Francisco,1
2,3,1922,106,1483,1650000,1113,San Francisco,
1,3,1895,68,1465,1095000,747,San Francisco,6
1,1,1910,8,1102,935000,848,New York,3
1,1,2008,12,756,699000,925,San Francisco,
2,2,2005,2,1260,2498000,1983,New York,5
1,3,1900,35,1520,660000,434,San Francisco,4
1,1,2008,29,847,799000,943,San Francisco,6
1,1,1926,10,769,798000,1038,San Francisco,
2,2,1964,68,1100,1199000,1090,San Francisco,
2,3,1948,52,1665,899000,540,San Francisco,
1,2,1915,13,680,480000,706,San Francisco,1
1,1,1982,5,784,999000,1274,New York,
1,1,1966,69,791,529000,669,San Francisco,2
3,3,1989,90,2157,758000,351,San Francisco,3
2.3,4,1904,13,2492,1398000,561,San Francisco,5
4,4,1948,87,2347,1800000,767,San Francisco,
2,2,1906,10,2400,3995000,1665,New York,
1,1,1900,91,624,599000,960,San Francisco,
2,2,1907,54,1756,1895000,1079,San Francisco,4
2,2,1999,10,1569,2175000,1386,New York,1
2,2,1928,10,1200,2000000,1667,New York,2
2,3,1975,34,1474,725000,492,San Francisco,
2,2,2006,3,1113,895000,804,San Francisco,
2,1,1900,7,1300,1950000,1500,New York,3
3,3,2015,3,2500,6350000,2540,New York,
2,2,2008,0,1159,1298000,1120,San Francisco,5
1,1,2005,19,715,1135000,1587,New York,3
1,0,1900,10,387,545000,1408,New York,6
2,2,1920,10,2050,2200000,1073,New York,
2,2,2009,10,1135,1849000,1629,New York,
1,1,1941,70,875,739900,846,San Francisco,
1.5,2,1949,56,1348,749000,556,San Francisco,2
2,3,1956,216,1305,995000,762,San Francisco,
1,1,1963,12,700,835000,1193,New York,3
2,2,1984,46,988,989000,1001,San Francisco,
1,1,1900,27,450,535000,1189,New York,6
1,0,1910,11,375,325000,867,New York,
2,2,1982,24,1030,849000,824,San Francisco,
1,0,1988,9,500,699999,1400,New York,4
3,3,1907,23,1503,1245000,828,San Francisco,
2.5,3,2013,5,2075,2850000,1373,San Francisco,
1,1,1965,10,750,649000,865,New York,
3,3,1977,38,2100,1488888,709,San Francisco,
2,2,2016,11,1520,4895000,3220,New York,3
2,3,1907,33,1396,1195000,856,San Francisco,
1,1,1969,23,600,1200000,2000,New York,1
